,open,close,high,low,volume,money
2014-01-30,3.35,3.37,3.38,3.34,5140260.0,17307344.0
2014-02-07,3.37,3.42,3.43,3.34,6782359.0,23130932.0
2014-02-10,3.43,3.47,3.48,3.42,8579255.0,29696480.0
2014-02-11,3.47,3.48,3.49,3.43,10153663.0,35153216.0
2014-02-12,3.47,3.46,3.49,3.44,7754307.0,26809940.0
2014-02-13,3.46,3.44,3.5,3.44,6836929.0,23748848.0
2014-02-14,3.45,3.5,3.5,3.42,8947707.0,30920928.0
2014-02-17,3.59,3.67,3.79,3.59,29454520.0,108944376.0
2014-02-18,3.65,3.59,3.66,3.57,13615906.0,49101048.0
2014-02-19,3.58,3.62,3.65,3.55,10492196.0,37915072.0
2014-02-20,3.61,3.57,3.65,3.55,9873971.0,35431336.0
2014-02-21,3.56,3.51,3.58,3.48,8580798.0,30213488.0
2014-02-24,3.49,3.52,3.52,3.45,6928670.0,24097514.0
2014-02-25,3.52,3.39,3.52,3.37,9549571.0,32908520.0
2014-02-26,3.37,3.36,3.4,3.3,9107158.0,30551772.0
2014-02-27,3.38,3.31,3.4,3.29,11663003.0,38939760.0
2014-02-28,3.31,3.35,3.36,3.28,6338288.0,21056938.0
2014-03-03,3.35,3.42,3.43,3.33,7502485.0,25488264.0
2014-03-04,3.43,3.42,3.45,3.4,6861745.0,23493448.0
2014-03-05,3.41,3.41,3.49,3.4,8352367.0,28786076.0
2014-03-06,3.41,3.4,3.43,3.35,7099620.0,24035138.0
2014-03-07,3.4,3.36,3.43,3.35,6056910.0,20460356.0
2014-03-10,3.35,3.26,3.36,3.26,7507185.0,24711592.0
2014-03-11,3.25,3.26,3.28,3.24,4990678.0,16245286.0
2014-03-12,3.26,3.3,3.3,3.24,4358466.0,14233477.0
2014-03-13,3.28,3.32,3.32,3.27,4219475.0,13930037.0
2014-03-14,3.31,3.33,3.34,3.29,4328865.0,14328208.0
2014-03-17,3.33,3.32,3.33,3.29,3767059.0,12452707.0
2014-03-18,3.33,3.3,3.33,3.29,4052678.0,13388075.0
2014-03-19,3.31,3.31,3.31,3.26,4275725.0,14038771.0
2014-03-20,3.3,3.31,3.37,3.27,8742273.0,29110462.0
2014-03-21,3.3,3.36,3.37,3.27,7940410.0,26362464.0
2014-03-24,3.35,3.45,3.47,3.34,11277606.0,38495888.0
